,id,title,twitter_location,twitter_text,twitter_time,twitter_user
12,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",at home,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/4IQZof84Hk",2018-02-06 15:27:16,lillyann231
13,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",New Jersey,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/eQqbxKyvx3",2018-02-06 15:59:28,mariapksells
14,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/9xPT9vNMKq",2018-02-06 16:26:17,Phuckk_Youu
15,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Scituate, MA","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/HjTVoSHKyO",2018-02-06 16:34:46,suchaluckiegirl
16,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Body in Nyc-Mind in Pluto,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/NAuBmDjXaQ",2018-02-06 17:02:07,lifewithbrandon
17,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/Za9bPFNllC",2018-02-06 17:17:05,bj54
18,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","30.344898,-81.71757","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/dkapcCCqDi",2018-02-06 17:27:55,BBEMUZIC
19,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Global,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/9cglinShkT",2018-02-06 17:43:52,MiaaTIpX
20,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","        Corning, NY    USA","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/Dv13UybP4I",2018-02-06 17:47:44,William37796179
21,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Indiana,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/yM9tTwuRkq",2018-02-06 17:53:25,Tabemily
22,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",usa,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/JNbS5CbxKY",2018-02-06 17:53:44,michaelgenetarl
23,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Wilmington, NC","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/UJVcqGrPsv",2018-02-06 17:55:14,VHibler
24,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/q39Hp9EEHS",2018-02-06 17:57:30,VipMidSouth
25,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Syracuse and Surrounding areas,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/LDI7lFbyeq",2018-02-06 18:02:11,ClossonClosson
26,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/Abim3uOopQ",2018-02-06 18:12:01,VerticalWMG
27,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Clarksville Tn,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/3FRAloMvxf",2018-02-06 18:27:46,RebaEvitts
28,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Memphis,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/O6HljZmCL0",2018-02-06 18:28:33,londonfoggmusic
29,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/u5IMDfkhNX via @LoveThisPic_com",2018-02-06 18:41:48,GayleKwapis
30,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Albany New York,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/J9kJYjRZ4I via @LoveThisPic_com",2018-02-06 18:42:00,JEB_783RD
31,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Lincolnton nc ,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/AEfsleyXVg",2018-02-06 18:45:44,Da_wadd09
32,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Dubai, United Arab Emirates","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/ZUnMJkS9o7",2018-02-06 18:51:27,EsaWashington
33,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Alabama,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/QkwuPQBogg",2018-02-06 18:52:46,Cassie629
34,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Northern Michigan,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/dNnzYBxLbJ",2018-02-06 19:15:01,marylutz
35,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Alabama,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/YE1SnaD7gA",2018-02-06 19:20:09,kylaraynne
36,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/JBBHV0loHm",2018-02-06 19:24:57,remembering14
37,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/pGPlssIZby",2018-02-06 19:29:02,MizBlack_Ice305
38,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",LONDON,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/4rUrwqzwgl",2018-02-06 19:39:48,Brazilianhairs
39,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/So6YqNaZ05",2018-02-06 19:51:50,Jeni583
40,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Location Disable ❌✈️,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/GfPA8WrVtL",2018-02-06 20:07:21,ShuttaBoy_1020
41,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",My World!,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/KAJoIaRrM6",2018-02-06 20:16:39,Kellz350
42,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Writing a song about you‼️,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/OG3u8K9qUM",2018-02-06 20:22:50,TheRealStorhe
43,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Jackson, TN","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/18btLyL5Lx",2018-02-06 20:46:46,SequentialDrop
44,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Memphis,Tennessee","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/EUfsmoUje8",2018-02-06 20:56:14,MixeddIndian
45,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Hogansville,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/bYYD1nwDlU",2018-02-06 20:57:09,cakemafia29
46,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Bristol Pa. 19007,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/4VKpeC6jSN",2018-02-06 20:58:01,TenthRoundMMA
47,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Kano, Nigeria. ","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/8KvQjaR5v1",2018-02-06 21:07:32,MubarakBala
48,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",So. Florida,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/SuG7UA3S0w",2018-02-06 21:11:42,Dlongphoto
49,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","32.475307,-94.06385","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/CLUBBQOlaU",2018-02-06 21:11:42,wickedwynne
50,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",VIRGINIA BEACH,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/SvNMIjn8RZ",2018-02-06 21:15:58,acedawgbeatz
51,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/68Sc5X4fQe",2018-02-06 21:18:48,aftermeth1
52,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",somewhere in neverland,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/CSnnUHmmt6",2018-02-06 21:36:01,cepeters56
53,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/XHFVUUnbjf",2018-02-06 21:37:56,Bitch_ImEpic
54,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Texas, USA","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/QWwGRldaf5",2018-02-06 21:42:14,Dajoure25jay
55,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/AkPjWWP7Qg",2018-02-06 21:42:49,MyName_Reno
56,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/Xk95mzk6PH",2018-02-06 21:43:40,blueicerose
57,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",GLOBAL,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/INUFjNR33r",2018-02-06 21:45:58,REUBENBLEDSOEJR
58,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Cincinnati area,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/7wyhR1UDhr",2018-02-06 21:50:25,truthmiracle
59,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Phila , Pa","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/zdvzlAEqZJ",2018-02-06 21:53:47,SkurbanVintro
60,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Houston, Texas USA","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/5MEJKGloZr via @LoveThisPic_com",2018-02-06 21:55:44,velah123
61,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Connecticut ,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/TY7eGdZFoH",2018-02-06 21:56:40,mr_figueroa84
62,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Beverly Hills, CA","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/Yx5vV4ObFu",2018-02-06 22:00:41,MYCAgnew
63,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/Ah4xckkVFd",2018-02-06 22:04:00,egwm03
64,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Kentucky,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/n97EIS9j9Y",2018-02-06 22:09:27,suzie_burke
65,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Baton Rouge, LA","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/Yyi8KGwryw",2018-02-06 22:12:13,TayDivinorum
66,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Camille's Heart,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/8BNrAD03E7",2018-02-06 22:12:50,Trillest_Hippy
67,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",New Jersey & Philadelphia,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/dn4dQQOom7",2018-02-06 22:18:41,_michael__allen
68,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Tennessee, USA","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/sumta2mFnZ",2018-02-06 22:22:06,NightxGamer
69,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Hammonton, NJ","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/4sEbZ17dp6",2018-02-06 22:27:34,EquinomicsCorp
70,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/cQbMM464fq",2018-02-06 22:29:28,jayfivee
71,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",New York City,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/Hkg1L78wpb",2018-02-06 22:39:28,themuslimmodel
72,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",GLOBAL,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/jR1eq1ssNG",2018-02-06 22:40:13,AgentRisk
73,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",803/864,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/N29UWof6y5",2018-02-06 22:43:51,jfj456
74,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Lawton,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/VH01ZwQlFC",2018-02-06 22:52:01,DaniaDeLawton
75,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/SdNAZsg7k6",2018-02-06 23:09:01,Realistla
76,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Dallas Texas _Cleveland Ohio,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/HEsi3RUw2V",2018-02-06 23:13:27,Envymrsanderson
77,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Wilson, NC","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/HPhMFGxKWK",2018-02-06 23:22:58,PBSwaggy
78,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Leesville, La.","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/u2prRhbEY5",2018-02-06 23:48:58,nikkijt25
79,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","England, United Kingdom","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/qoWduL7umW via @LoveThisPic_com",2018-02-06 23:51:43,pk786
80,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018", twyman family ,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/w8e1WYDWLQ",2018-02-06 23:58:35,lisacalvin69
81,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Pensacola fl.,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/917Jj8jFoF",2018-02-07 00:04:18,LuvzJuju_Sadea
82,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Killeen, TX","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/bkmRz2g3BC",2018-02-07 00:04:26,missycurtis01
83,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Guayaquil , Ecuador","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/ANIYpgJgmV",2018-02-07 00:05:25,fufobaraket
84,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Caldwell, Texas USA","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/e9yQ6ygL55",2018-02-07 00:13:21,JimHillTx
85,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/SBej069Q09",2018-02-07 00:21:45,tyler_bost
86,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Converse, TX","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/0LTqhdgNBj",2018-02-07 00:24:28,DominiqueZahara
87,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/8s9eAeVDgd",2018-02-07 00:26:19,enfinger6
88,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/X8hdLbmv3M",2018-02-07 00:29:05,mrphenomenalist
89,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/mW3fcfdnkx",2018-02-07 00:29:46,highflyer348
90,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Planet 9,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/qY7ilcDFTf",2018-02-07 00:36:55,LiveLoveLite
91,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Earth,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/q24Pc9ch6X via @LoveThisPic_com",2018-02-07 01:01:25,djstyk
92,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Merriam, Ks.","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/9ORgVwKzWC",2018-02-07 01:03:43,BeersSusan
93,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/UNB4gz1yoo",2018-02-07 01:05:33,Chief_JSosa
94,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Port Clinton OH,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/2eLS3Skyt1",2018-02-07 01:11:07,morganrealtygrp
95,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",U.G.A.  (Undergroundathens),"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/LURuUBUYwO",2018-02-07 01:11:25,BlackThaDon8
96,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Manhattan, NY","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/7acYchSCZ4 via @LoveThisPic_com",2018-02-07 01:12:12,codedtestament1
97,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Muskegon, Michigan","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/nDUns1IOtU",2018-02-07 01:18:40,backtoschoolart
98,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",World Wide,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/St3kOFSHNq",2018-02-07 01:34:21,djbabychoc
99,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Ferguson, MO","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/afcVDIuvro",2018-02-07 01:47:20,PPFerguson314
100,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Cottage Grove Wi US of A,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/J6QchqDagY",2018-02-07 02:04:38,getMUSICNEWS
101,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","New Orleans, LA","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/rGaQQyOVCh via @LoveThisPic_com",2018-02-07 02:11:31,LeighColeman1
102,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/i8Jvmlzvti",2018-02-07 02:23:34,PrincessJxoo
103,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Wappingers Falls, NY","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/UvvDuQhF5O",2018-02-07 02:35:58,CloveCreekDT
104,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",streator il,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/x8lp4I3eqs",2018-02-07 02:55:39,tweetluc
105,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Baton Rouge, LA, USA","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/nVGyHQJQ8p",2018-02-07 02:55:46,dotsie01
106,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Bronx, New York","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/BhSA5xeOeF",2018-02-07 02:55:48,TRuGRAPHICZz
107,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Everywhere,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/odLWaNjxmf",2018-02-07 02:58:13,blaq_pages
108,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Brooklyn, NY","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/HeCryE2Fmp",2018-02-07 02:58:57,La_Poeta_Soul
109,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",jamaica nyc,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/Dll1pHXgmR",2018-02-07 03:03:47,Empressjurnee
110,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",New Orleans ✈ ➡Atlanta,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/UMQdtPK5X9",2018-02-07 03:03:59,Skrill_Dilly
111,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","San Antonio, Texas","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/Y5EbadYKwm",2018-02-07 03:09:25,ElPadrinosr
112,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",✈International,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/nObP5KLHLO",2018-02-07 03:23:37,MsParisOKC
113,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Poughkeepsie, NY","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/6NtjRjprgh",2018-02-07 03:31:19,LaSuperLatinaHV
114,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Haltom City, TX","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/mI1Bdt71YM",2018-02-07 03:32:49,NATIVEKAT1
115,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",United States Of America,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/5bc7OLkZOb",2018-02-07 03:37:21,MusicByCM
116,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Washington, DC","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/W8IBc6llOL",2018-02-07 03:49:09,nylajones
117,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Granville, OH","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/3r4NTGP6hr",2018-02-07 04:00:37,diblasiophoto
118,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/pF3vS69Mcp",2018-02-07 04:01:23,MoneyAndWeedent
119,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",earth,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/wy9KKWba0o",2018-02-07 04:07:51,Entologist
120,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",Canada,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/prhjPA0Nx9 via @LoveThisPic_com",2018-02-07 04:12:12,_SnowAngel83_
121,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Fayetteville, GA","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/pIFkgy5Oug",2018-02-07 04:12:15,successengagers
122,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","Holiday, FL","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/YwQnABzwVN",2018-02-07 04:12:26,pawsportunities
123,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018",,"Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/HeTc6t4LYx",2018-02-07 04:16:25,Gramme01Teresa
124,politifact15018,"Smoking In Cars With Children Is Illegal Starting January 30, 2018","norwalk, cali","Smoking In Cars With Children Is Illegal Starting January 30, 2018 https://t.co/feXVKNipOh",2018-02-07 04:26:45,djserjah9
